node_id,topic_bin_id,status,answer_type,member_count,x,y,weighted_mass,node_size,representative_text
ANODE_62B6852738502414C4FA08E3,TBIN_2CD0EA2BC01A7823B798C53C,active,A2,2,0.2720242142677307,0.3218897581100464,1.6,10.234983196103153,국보등보유박물관중내진설계가 미적용된박물관에대하여기준· 지침을마련할것
ANODE_B54E2CFF74C5DD2FA301C89B,TBIN_2CD0EA2BC01A7823B798C53C,active,A7,2,0.2729344367980957,0.3209366798400879,1.6,10.234983196103153,남북협력기금대출금상환 대책을마련할것
ANODE_1D7D6C7B22F7317501FD4EF0,TBIN_2CD0EA2BC01A7823B798C53C,active,A8,1,0.2818075716495514,0.3271837830543518,0.8,9.28747855498907,재단 법제화를 위해 관련 법안을마련하고입법을추진 할것
ANODE_78B8CB90D724763A6B5620EC,TBIN_930735872F0BFB78A3A5A3F0,active,A2,1,0.37448859214782715,0.3350875973701477,0.8,9.28747855498907,영상저작물저작자가정당한 보상을받을수있도록제도를 개선할것
ANODE_36F6405FD53FB298D4CFCA7E,TBIN_930735872F0BFB78A3A5A3F0,active,A4,1,0.3769756555557251,0.33715900778770447,0.8,9.28747855498907,영상저작물저작자가정당한 보상을받을수있도록제도를 개선할것
ANODE_F5AC3C6C0E0DEDC63245F39A,TBIN_930735872F0BFB78A3A5A3F0,active,A5,1,0.3095526695251465,0.3292321264743805,0.8,9.28747855498907,경륜선수의도핑관련금지 약물에대한제재양정기준 마련하고및해당제재내역의 투명한공개필요 (체육협력관) 13건
ANODE_7F4D62F0A56331262C5D5748,TBIN_930735872F0BFB78A3A5A3F0,active,A6,4,0.3289910852909088,0.3230881690979004,3.2,11.57495710997814,경남지역게임산업의거점으로 경남글로벌게임센터를구축하는 방안을검토할것
ANODE_8617FBA3A3EFDED2306DD6A9,TBIN_930735872F0BFB78A3A5A3F0,active,A7,2,0.3546946942806244,0.3359507918357849,1.6,10.234983196103153,"스포츠디지털전환을위한핵심 기술인력의보유등을검토하고 스포츠디지털전환을위한중장기 계획방안, 관련필요법안추진안에 대해보고필요"
ANODE_C2D6DB1939CBD4772DC696E6,TBIN_930735872F0BFB78A3A5A3F0,active,A8,3,0.34585341811180115,0.33690145611763,2.4000000000000004,10.962029078465308,"체육진흥투표권사업수탁사업자 와의상생방안검토및공영화 시행준비에만전을기할필 요가있으며, 불법스포츠도박 근절을위한인력충원및주 최단체구매환급제한대상자 등록률 100% 달성을 위한 문체부등이해관계자협의 진행필요"
ANODE_E01ECC79943797F16459BFA2,TBIN_2CD0EA2BC01A7823B798C53C,complete,A6,1,0.28080084919929504,0.3245430290699005,0.8,9.28747855498907,"연예인의스태프대상갑질 근절을위해실태조사방식을 보완하고, 기획업자 대상 교육을실시하는등대책을 마련할것"
ANODE_FAE5333E7802F53929CA5C7F,TBIN_2CD0EA2BC01A7823B798C53C,complete,A7,2,0.2726169228553772,0.3214394450187683,1.6,10.234983196103153,국립발레단개인방송및SNS 영리활동에대한지침을마련할것
